l,h
212,76
170,76
170,76
145,55
145,55
210,76
210,76
203,38
188,38
217.4,76
217.7,76
210,76
235,76
242,76
215,76
216,76
221.5,76
221.5,76
306,76
303,76
303,76
240,76
171.2,38
171.2,38
212,76
212,76
212,76
212,76
230,38
229.8,76
229.8,76
211,76
211,76
210,76
210,76
212,76
212,76
140,55
210,76
211,76
215.6,76
210.9,76
224,76
224,76
224,76
305,76
305,76
305,76
305,76
225,76
225,76
172,76
172,76
212,76
210,76
170,76
170,76
262,55
262,55
222,76
222,76
140,55
150,55
251,76
251,76
251,76
251,76
145,76
154.7,76
217,76
217,76
230,76
230,76
230,76
230,76
196.5,76
228,76
240,76
240,76
145,55
145,55
216.3,76
216.3,76
216.3,76
220,76
220,76
219.7,76
389,76
389,76
395,76
228,76
375,76
375,76
131,55
131,55
165,38
161.5,38
212,38
310,38
367,38
176,38
165,38
164,38
180,76
189,76
189,76
90,55
131,55
131,55
188,26
206,26
178,38
147,38
254,76
353,38
353,38
372,38
372,38
98,55
131,55
140,76
140,76
136,38
217,38
250,38
250,38
131,55
131,55
90,55
180,76
176,30
205,30
370,38
361,38
361,38
195,38
240,26
292,26
292,26
345,76
300,76
300,76
179,76
160,38
228,76
364,76
364,76
228,76
228,76
228,76
228,76
220,76
310,76
300,76
210,55
340,38
340,38
184,38
180,38
180,38
221,55
221,55
94,55
131,55
131,55
89,55
89,55
210,55
256,76
256,76
102,55
244,38
244,38
292,38
292,38
331,76
331,76
125,76
125,76
89,55
260,76
260,76
150,38
150,38
330,38
442,38
442,38
220,76
224,76
224,76
131,55
131,55
257,38
257,38
131,55
131,55
131,55
150,26
167,38
405,38
399,38
235,38
131,55
131,55
151,38
168,38
131,55
140,55
162,28
191,38
191,38
140,55
131,55
180,76
300,38
300,38
220,76
220,76
300,76
300,76
131,55
131,55
131,55
157,55
157,55
300,76
300,76
386,76
131,55
136,76
136,76
131,55
131,55
204,76
220,76
251,76
393,76
393,76
393,76
393,76
311,76
311,76
232,76
232,76
131,55
131,55
131,55
131,55
299,38
299,38
253,38
159,38
259,38
131,55
131,55
131,55
121,22
164,38
140,38
166,38
170,26
115,76
241,76
241,76
242,76
242,76
203,76
203,76
75,76
90,76
317,38
317,38
75,76
209,38
211,55
326.8,55
180,38
110,38
309.1,38
309.1,38
220,76
220,76
110,76
110,76
70,38
91,76
281.8,38
275,24
275,24
75,76
75,76
221,38
221,38
115,76
300,55
300,55
220,76
220,76
375,55
112,76
186,55
186,55
353,55
221,55
223,55
110,76
220,76
220,76
207,38
218,38
169,38
180,76
160,76
353,76
300,76
300,76
220,55
210,55
110,76
138,76
115,76
324,76
222,76
285,76
285,76
217,20
183.9,38
90,38
110,76
110,55
335,38
300,38
82,38
153,38
159,38
210,55
212,55
75,76
120,76
71,76
270,76
207,38
53,38
405,76
190,76
405,76
190,76
85,76
223,76
220,76
82,76
75,76
220,76
220,76
159,76
370,76
370,76
446,76
456,76
400,76
400,76
400,76
400,76
64,38
225,38
210,38
60,38
61,38
300,76
312,76
247,76
256,76
85,76
381,76
382,76
260,76
256,76
85,76
140.5,76
192.36,76
192.36,76
115,76
300,76
300,76
210,76
210,76
219,76
219,76
115,76
211,38
187,38
300,55
300,55
100,76
100,76
120,76
220,76
220,76
320,76
320,76
320,76
320,76
320,76
320,76
320,76
320,76
100,76
100,76
220.5,76
188,55
220.5,76
220,76
255,76
300,38
300,76
350,38
170,76
115,76
177,38
300,76
300,76
145,55
140,55
230.35,76
230.35,76
377,55
376.35,55
445.65,76
445.65,76
90,76
114,38
404.7,76
404.7,76
405,76
405,76
75,76
229,38
206,38
220,76
75,76
253,38
218,38
172,76
140,55
140,76
220,55
225,55
212,55
210,55
220,76
300,76
220,76
220,76
220,76
220,76
100,76
100,76
321,76
321,76
90,18
320,76
210,76
320,76
320,76
110,76
150,76
56,38
390,76
220,76
299,55
302,55
115,76
164,55
166,55
166,55
302.9,38
151,76
151,76
300,55
300,55
159,76
159,76
212,38
150,76
80,38
214,55
220,55
65,38
70,38
292,38
243,38
70,38
96,38
300,76
215,76
111,76
110,76
75,76
75,76
480,76
480,76
242,76
234,76
221,55
302,38
64,38
300,38
306,38
310,38
300,76
300,76
140,55
140,55
225,76
225,76
140,28
164,76
165,76
206,32
144,32
165,76
165,76
165,76
165,76
166,76
249,76
249,76
156,38
156,38
152,38
112.5,28
114,38
163,76
163,76
100,22
175,38
151,38
220,30
120,30
105,38
100,38
105,76
105,76
98,38
106,76
100,76
220,34
220,76
101,30
158,55
158,55
265,76
362,76
407,76
405,76
375,76
99,38
126,24
110,38
140,76
140,76
105,76
105,76
147,28
100,28
140,38
422,76
422,76
422,76
422,76
430,76
430,76
430,76
430,76
152.5,96
152.5,96
430,76
430,76
430,76
430,76
430,76
430,76
430,76
430,76
235,96
90,55
235,96
209,76
209,76
185,96
185,96
446,76
446,76
446,76
412.6,76
412.6,76
226,96
226,96
228,96
228,96
237,76
237,76
237,76
237,76
166,96
166,96
166,96
166,96
266,76
266,76
258,76
258,76
190,96
190,96
158,96
158,96
210.7,76
210.8,76
163,103
163,103
254,38
163,38
222,96
222,96
154,96
154,96
435.2,55
435,55
435,55
435,55
403,55
403,55
164,103
164,103
159,96
159,96
420,55
420,55
420,55
420,55
113,76
133,76
198,96
198,96
193,96
193,96
196,96
196,96
